,user,text,favorite_count,retweet_count,created_at
82,FoxNews,"Adidas marketing strategy to promote LGBTQ rights did ‘more harm than good,’ branding expert says https://t.co/koUQZXASZ5",152,30,2023-05-23 20:50:09+00:00
83,FoxNews,.@TulsiGabbard hammers LA Dodgers for reinviting anti-Catholic group to Pride Night https://t.co/fVrTxxUkk1,175,29,2023-05-23 20:45:07+00:00
84,FoxNews,"Aaron Rodgers says he 'tweaked' calf during Jets practice, sits out of team drills https://t.co/VtVstYTzQE",40,5,2023-05-23 20:40:05+00:00
85,FoxNews,"HORROR HITS HOME: Rep. @brandonguffeysc introduced ""Gavin's Law"" after suffering a gut-wrenching family tragedy. ""If you're going to target children, it better not be in the state of South Carolina,"" the Republican said. https://t.co/n9YF6Bz6e8 https://t.co/NDSxXCWaA5",85,17,2023-05-23 20:35:05+00:00
86,FoxNews,"Meghan Markle honored at Gracie Awards; expert predicts 'show of emotion, maybe even tears' https://t.co/Hm6t6ZGeDq",49,6,2023-05-23 20:30:05+00:00
87,FoxNews,.@piersmorgan battles trans activist over transgender athletes in women's sports: 'You are totally oblivious' https://t.co/OvuYqmfBd4,142,24,2023-05-23 20:25:04+00:00
88,FoxNews,"Popular contact lenses could contain toxic ‘forever chemicals,’ new study finds https://t.co/FpndhlD2Fw",50,25,2023-05-23 20:20:05+00:00
89,FoxNews,Chargers' Khalil Mack says historic playoff collapse seemed 'like a nightmare' https://t.co/6DpaiuqPGB,30,5,2023-05-23 20:15:08+00:00
90,FoxNews,JJ Redick responds to Stephen A. Smith about comments on LeBron's possible retirement: 'You didn't play' https://t.co/OaBkfr2GQm,52,4,2023-05-23 20:10:04+00:00
91,FoxNews,Biden concession on military jets is his latest shift toward heavily arming Ukraine https://t.co/E2NXH641n3,64,18,2023-05-23 20:05:05+00:00
92,FoxNews,"@SenTedCruz reminds AOC her own Democrat Party founded KKK, wrote Jim Crow laws https://t.co/ZAwV3v9oWb",378,58,2023-05-23 19:56:07+00:00
93,FoxNews,Sen. Scott responds to NAACP's Florida 'travel advisory' with one of his own for 'socialists' https://t.co/W9wK9qs39w,98,15,2023-05-23 19:40:07+00:00
94,FoxNews,DHS announces its first department-wide body camera policy year after Biden executive order on police reform https://t.co/o63YtA44EO,47,9,2023-05-23 19:35:05+00:00
95,FoxNews,Father of murdered Idaho college student on suspect's silence during arraignment: 'It was a strategy' https://t.co/9aYuBQMLEN,46,8,2023-05-23 19:30:03+00:00
96,FoxNews,Arizona man pleads not guilty to stabbing death of 29-year-old Lauren Heike on hiking trail https://t.co/U91opxDQdb,54,12,2023-05-23 19:25:07+00:00
97,FoxNews,Biden climate warrior nominee who argued for higher energy prices has stake in oil and gas firm https://t.co/eIjfSWl5qH,208,83,2023-05-23 19:20:05+00:00
98,FoxNews,BREAKING NEWS: Trump's 'hush money' trial to begin months before 2024 presidential election  https://t.co/0vhKPrCmG2,98,26,2023-05-23 19:18:14+00:00
99,FoxNews,Canadian student speaks out after being detained while handing out free Bibles at protest: No 'coincidence' https://t.co/hKzDtzqyOC,333,87,2023-05-23 19:16:03+00:00
100,FoxNews,"Biden makes ‘equity,’ civil rights a top priority in development of ‘responsible’ AI https://t.co/v4HXCtetNC",37,12,2023-05-23 19:11:07+00:00
101,FoxNews,"Jeff Bridges reveals tumor has shrunk, says 'cancer was nothing compared to COVID’ https://t.co/19hSkWaHTx",122,17,2023-05-23 19:06:14+00:00
102,FoxNews,"WATCH LIVE: Karine Jean-Pierre holds press briefing

https://t.co/XjR1YQTEbM",30,4,2023-05-23 18:58:10+00:00
103,FoxNews,"Sylvester Stallone drafts breakup texts for his daughters, who 'highly suggest' the unusual tactic https://t.co/5KrVGK9PgG",78,13,2023-05-23 18:50:42+00:00
104,FoxNews,NFL approves fair-catch twist to kickoffs but new rule falls flat among fans: 'Goodbye fun' https://t.co/ul5xYWQHiT,26,6,2023-05-23 18:45:06+00:00
105,FoxNews,"STAYING FAITHFUL: Rev. @Franklin_Graham says faith leaders must stand firm in biblical truths as every 'demon from hell' has been 'turned loose' in society.
https://t.co/YNE6xF7oq7 https://t.co/9Mh5HODi7w",1965,286,2023-05-23 18:40:05+00:00
106,FoxNews,College student details professor's tirade against an anti-abortion display: 'Started to berate us' https://t.co/1z8EDNoDd5,68,36,2023-05-23 18:35:06+00:00
107,FoxNews,'The View' hosts clash over Fetterman's shabby attire: 'I'm starved' for days of 'decorum' https://t.co/XWQQ0IAp7o,47,8,2023-05-23 18:30:06+00:00
108,FoxNews,MISSING THE MARK: The retailer is trying to avoid a 'Bud Light situation.' https://t.co/zqkmY1DfBf https://t.co/M6ax2aLqLq,334,69,2023-05-23 18:20:08+00:00
109,FoxNews,FBI abuse of spy law throws renewal into question https://t.co/iJZ3cJoAkB,137,41,2023-05-23 18:15:09+00:00
110,FoxNews,Prestigious Virginia high school's admissions policy does not discriminate against Asian Americans: court https://t.co/Pp3z3uZtrA,36,9,2023-05-23 18:10:09+00:00
111,FoxNews,"BREAKING: Florida Gov. Ron DeSantis to announce candidacy for president Wednesday on Twitter, sources say https://t.co/Js6znlMxjH",389,66,2023-05-23 18:07:32+00:00
112,FoxNews,Bubba Wallace faces no discipline from NASCAR for flipping the bird during post-race interview: reports https://t.co/yAjk3ZQwyH,158,28,2023-05-23 18:05:05+00:00
113,FoxNews,Target holds 'emergency' meeting over LGBTQ merchandise in some stores to avoid ‘Bud Light situation’ https://t.co/FyeMoVxYIi,239,47,2023-05-23 18:00:07+00:00
114,FoxNews,Texas AG Paxton slaps Biden admin with lawsuit over use of CBP One app: 'Pre-approving more foreign aliens' https://t.co/Lr0vIWQkeQ,264,103,2023-05-23 17:55:09+00:00
115,FoxNews,"MOVING ON? After LeBron James' Lakers were swept by the Nuggets, the NBA superstar floated retirement and said he has ""a lot to think about."" https://t.co/uD7sQ7h5Yg https://t.co/LDUgqMSz53",87,15,2023-05-23 17:50:09+00:00
116,FoxNews,CNN’s Christine Amanpour apologizes after wrongly claiming that rabbi's family was killed in ‘shootout’ https://t.co/jug6lGYOxd,56,15,2023-05-23 17:45:09+00:00
117,FoxNews,Superhumans! Wounded Ukrainians walking back to victory with the help of new rehab center https://t.co/9jejwa40me,56,11,2023-05-23 17:40:04+00:00
118,FoxNews,"Tim Scott takes on 'radical left' in first 2024 ad, says he's 'living proof' of American Dream https://t.co/6tMaEe23im",388,51,2023-05-23 17:35:04+00:00
119,FoxNews,Florida man’s arm amputated after 10-foot alligator attacks outside bar near pond https://t.co/43bfVBtCfx,61,12,2023-05-23 17:30:12+00:00
120,FoxNews,Bill Gates some 30 years older than Russian bridge player at time of alleged affair: Report https://t.co/EBMWhO5Sad https://t.co/b2nmkYZ835,148,40,2023-05-23 17:25:04+00:00
121,FoxNews,SHUN-SHINE STATE: @GiannoCaldwell rips NAACP's travel advisory for Florida. https://t.co/Ls220TLlhH https://t.co/2oHmHaVSz2,1129,257,2023-05-23 17:20:03+00:00
122,FoxNews,Alec Baldwin calls completion of 'Rust' a 'miracle' after fatal shooting on set https://t.co/TIyWJvQtTj,66,14,2023-05-23 17:15:05+00:00
123,FoxNews,Pitt head coach blasts Deion Sanders’ roster overhaul at Colorado: ‘Not the way it's meant to be’ https://t.co/RSGx9gCPhg,34,8,2023-05-23 17:10:04+00:00
124,FoxNews,Russian court orders Wall Street Journal reporter Evan Gershkovich held 3 more months: state media https://t.co/tHlHjqtZos,38,12,2023-05-23 17:05:03+00:00
125,FoxNews,Michael Jordan just bought a 300 mph car worth millions https://t.co/kOTWDyC6NC,79,18,2023-05-23 17:00:11+00:00
126,FoxNews,"BREAKING NEWS: Target holds 'emergency' meeting over LGBTQ merchandise in some stores to avoid ‘Bud Light situation’

https://t.co/urVNrWEB0R",4907,866,2023-05-23 16:57:36+00:00
127,FoxNews,Hunter Biden mistress asks court to jail president's son over custody court battle https://t.co/ojXoWYNve1,1594,275,2023-05-23 16:55:03+00:00
128,FoxNews,"Georgia school district may have violated students rights by removing explicit books, Education Dept. says https://t.co/ZM3lyC93lB",33,15,2023-05-23 16:50:06+00:00
129,FoxNews,"Loretta Lynn’s daughters honor late mother’s legacy, faith: ‘Heaven must be the happiest place on earth’ https://t.co/e2NKXdyGFv",128,27,2023-05-23 16:45:11+00:00
130,FoxNews,"'CONTROLLING THE ROOM': Steve Goncalves, father of Idaho murder victim Kaylee Goncalves, says he believes Bryan Kohberger's silence at arraignment was a legal strategy. https://t.co/JxGLlLogn3",58,14,2023-05-23 16:40:07+00:00
131,FoxNews,NYC faces restraining order from town refusing to accept buses of migrants: 'Utter lack of leadership' https://t.co/JbpPmlHUot,134,33,2023-05-23 16:35:06+00:00
132,FoxNews,Dem activist fresh from spring break in Florida goes further than NAACP: 'Terrorist state' https://t.co/3DCaPVRIcp,47,12,2023-05-23 16:30:05+00:00
133,FoxNews,Biden energy official rejects GOP hearing invite as admin pulls grant from Chinese-linked company https://t.co/nP5JGe58pF,58,15,2023-05-23 16:20:04+00:00
134,FoxNews,. @Franklin_Graham at Christian media convention: Every 'demon from hell' has been 'turned loose' in society https://t.co/TooMNDwRth,183,41,2023-05-23 16:15:07+00:00
135,FoxNews,"Russiagate government figures exposed in Durham report were rewarded with cushy TV gigs, lucrative book deals https://t.co/1Vs4ZDDkWn",151,68,2023-05-23 16:10:08+00:00
136,FoxNews,"DeSantis hints at presidential run, predicts which Supreme Court justices could be gone in next decade https://t.co/msenyApVUc",82,7,2023-05-23 16:05:42+00:00
137,FoxNews,SUSPICIOUS ACTIVITY: Bryan Kohberger allegedly installed and gained access to a woman's home security cameras. The disturbing details: https://t.co/OJ6qEh96xm https://t.co/LJkTYYBbgt,53,21,2023-05-23 16:00:10+00:00
138,FoxNews,Haunting Prison Ship Martyrs Monument in Brooklyn is America's 'original' tomb of unknown war heroes https://t.co/j1LDXRq6xj,26,11,2023-05-23 15:55:22+00:00
139,FoxNews,South Carolina lawmaker exposes dangers of 'sextortion' after teenage son's suicide https://t.co/MAbl2Q3grY,52,16,2023-05-23 15:50:07+00:00
140,FoxNews,"WAKING GIANT: Ash falls from the skies as volcano in Mexico becomes increasingly active.
https://t.co/ZGDaMbMZ2S https://t.co/HDpX49r0c6",70,16,2023-05-23 15:45:03+00:00
141,FoxNews,12-week abortion law takes effect in Nebraska as state prepares crackdown on transgender surgeries for minors https://t.co/7Fp8EIcj6F,288,29,2023-05-23 15:40:02+00:00
142,FoxNews,"Ted Cruz, Mike Lee push FDA to 'automatically' approve drugs used in 'trusted countries' https://t.co/TsmIBBYtwW",239,58,2023-05-23 15:35:08+00:00
143,FoxNews,"DEADLY CONSEQUENCES: @SenTedCruz blasts Biden and Harris, saying what the pair are doing at the southern border is 'unprecedented.' https://t.co/L1NqU2uTFM",202,44,2023-05-23 15:30:17+00:00
